head,relation,tail
C0722742,Regulatory_Status,C0042615
C0722742,Etiology_AssociatedWith,C0593817
C0722742,Etiology_AssociatedWith,C0445363
C0722742,Etiology_AssociatedWith,C1517486
C0722742,Taxonomy_PartOf,C0280274
C0722742,Taxonomy_PartOf,C0812430
C0722742,Taxonomy_PartOf,C0474035
C0722742,Taxonomy_PartOf,C3653531
C0722742,Taxonomy_PartOf,C3653798
C0722742,Taxonomy_PartOf,C3653826
C0140594,Etiology_AssociatedWith,C0029083
C0140594,Treatment_IndicationUse,C0030332
C0140594,Treatment_IndicationUse,C1444625
C0140594,Treatment_IndicationUse,C4518712
C0140594,Etiology_AssociatedWith,C1710463
C0140594,Etiology_AssociatedWith,C0103404
C0140594,Etiology_AssociatedWith,C0033555
C0140594,Etiology_AssociatedWith,C0450360
C0140594,Taxonomy_PartOf,C4521954
C0140594,Taxonomy_PartOf,C1373012
C0140594,Taxonomy_PartOf,C3653708
C0140594,Treatment_IndicationUse,C0339164
C0140594,Treatment_IndicationUse,C4703414
C0140594,DrugInteraction,C0376218
C0140594,DrugInteraction,C0025382
C0140594,DrugInteraction,C0032952
C0140594,Safety_ContraindicationAvoid,C0301925
C0140594,Safety_ContraindicationAvoid,C0033011
C0140594,Safety_ContraindicationAvoid,C0008059
C0055895,Etiology_AssociatedWith,C0456588
C0055895,Etiology_AssociatedWith,C3653671
C0055895,Treatment_IndicationUse,C3875321
C0055895,MoA_ModulationOther,C0021368
C0055895,Taxonomy_PartOf,C4521954
C0055895,Taxonomy_PartOf,C0443077
C0055895,Etiology_AssociatedWith,C0961890
C0016299,Taxonomy_IsA,C0017712
C0016299,Treatment_IndicationUse,C0439706
C0016299,MoA_BindingAffinity,C1841967
C0016299,MoA_ActivationInduction,C1705331
C1705331,MoA_BindingAffinity,C2326883
C0016299,MoA_AgonistAntagonist,C0885447
C0016299,MoA_ModulationOther,C1512226
C0016299,MoA_ModulationOther,C4552270
C0016299,MoA_ModulationOther,C0427743
C0016299,Taxonomy_PartOf,C4521954
C0016299,Taxonomy_PartOf,C0282555
C0016299,Taxonomy_PartOf,C1373012
C0016299,Taxonomy_PartOf,C0443077
